url,label
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/54_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/55_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/56_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/57_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/58_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/59_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/60_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/61_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/62_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/63_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/64_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/65_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/66_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/67_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/68_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/69_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/70_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/71_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/72_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/73_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/74_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/75_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/76_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/77_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/78_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/79_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/80_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/81_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/82_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/83_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/84_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/85_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/86_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/87_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/88_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/89_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/90_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/91_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/92_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/93_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/94_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/95_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/96_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/97_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/98_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/99_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/100_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/101_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/102_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/103_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/104_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/105_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/106_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/107_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/108_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/109_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/110_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/111_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/112_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/113_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/114_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/115_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/116_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/117_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/118_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/119_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/120_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/121_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/122_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/123_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/124_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/125_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/126_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/127_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/128_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/129_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/130_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/131_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/132_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/133_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/134_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/135_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/136_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/137_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/138_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/139_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/140_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/141_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/142_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/143_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/144_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/145_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/146_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/147_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/148_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/149_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/150_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/151_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/152_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/153_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/154_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/155_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/156_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/157_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/158_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/159_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/160_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/161_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/162_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/163_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/164_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/165_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
